11,Pyranometer Upper Irradiance [W/m$^2$],Pyranometer Lower Irradiance [W/m$^2$],Pyrgeometer Upper Irradiance [W/m$^2$],Pyrgeometer Lower Irradiance [W/m$^2$],Albedo [-],Net Solar radiation [W/m$^2$],Net (total) radiation [W/m$^2$],Net Far Infrared radiation [W/m$^2$],Sky temperature [°C],Radiometer Ground temperature [°C]
2018-11-14 00:00:00,1.7834462500000001,-2.870866083333333,369.00870675000004,364.7115665833334,-1.0871149166666667,4.65431225,8.9514525,4.297140333333334,10.872391583333332,10.042266583333333
2018-11-14 00:01:00,2.1589085833333335,-0.04556924999999997,371.70023225,365.8343331666667,0.6443512500000002,2.2044778333333332,8.07037675,5.865898999999999,11.390960833333331,10.264564916666666
2018-11-14 00:02:00,2.3935725833333334,-2.0961879166666666,370.72223208333327,366.0362876666666,-0.68419325,4.489760416666667,9.175705166666667,4.685944666666667,11.20363375,10.30502625
2018-11-14 00:03:00,1.6426477499999994,-0.7746781666666666,369.0307373333333,368.48386058333335,-0.13981891666666665,2.41732575,2.9642025833333334,0.5468768333333333,10.880290583333334,10.776329000000002
2018-11-14 00:04:00,3.332228333333333,-2.597450333333333,370.008503,365.9310660833333,0.09807891666666668,5.929678750000001,10.007115583333334,4.077436916666667,11.069669249999999,10.28422875
2018-11-14 00:05:00,3.801556249999999,-0.6835394999999999,368.3620656666667,363.85332408333335,inf,4.485095666666666,8.99383725,4.508741416666667,10.749734083333335,9.879465916666668
2018-11-14 00:06:00,5.3503385,-2.2784651666666664,368.4049710000001,366.7844093333334,-inf,7.62880375,9.249365416666667,1.6205615000000009,10.7537765,10.447415916666666
2018-11-14 00:07:00,2.8629005000000003,-2.3696035833333333,370.1210626666666,364.4228016666666,0.02161349999999994,5.232504166666666,10.930765166666667,5.698261166666666,11.088650999999999,9.990391833333334
2018-11-14 00:08:00,5.021808916666666,-0.09113858333333325,367.5841049166666,366.09093175,-1.3565117500000001,5.112947583333333,6.606120916666666,1.4931733333333337,10.595944583333333,10.312383500000001
2018-11-14 00:09:00,4.646346583333333,-3.098712583333333,369.20114658333335,364.54562366666664,inf,7.74505925,12.400582333333332,4.6555229166666665,10.912272666666667,10.01460508333333
2018-11-14 00:10:00,2.5343709166666675,-0.7291090000000001,369.39838725000004,367.33084125000005,0.49395058333333336,3.2634797499999997,5.3310255,2.0675456666666667,10.951608083333332,10.553574833333334
2018-11-14 00:11:00,3.2383628333333334,-2.1417570833333333,369.25580825,365.16535500000003,-inf,5.380120166666667,9.47057325,4.0904533333333335,10.923732583333333,10.134173916666667
2018-11-14 00:12:00,3.9892873333333334,-2.5518809166666667,366.5939181666667,363.77029524999995,-inf,6.5411685,9.364791333333333,2.8236228333333333,10.408780583333334,9.862902416666666
2018-11-14 00:13:00,4.223951416666667,-2.1873264166666666,371.3774006666666,366.617334,-0.3015184166666667,6.411277833333334,11.171344916666667,4.760066833333334,11.329594833333333,10.413338
2018-11-14 00:14:00,4.7871448333333335,-3.417697666666667,368.4697205,366.4794855,-1.0681069166666666,8.204842666666666,10.195077833333334,1.9902351666666664,10.773588500000002,10.389556
2018-11-14 00:15:00,3.2852955833333333,-2.870866083333333,368.57187241666674,365.76152849999994,-inf,6.156161666666667,8.966505499999998,2.810343916666666,10.789752166666668,10.246191916666668
2018-11-14 00:16:00,3.0506314999999997,-1.8683414166666668,367.52382200000005,366.0306484999999,-inf,4.918972833333334,6.412146416666666,1.4931735,10.589544083333333,10.302814333333332
2018-11-14 00:17:00,3.097564333333333,-3.007574,368.2709918333334,365.89487841666664,-0.06680241666666668,6.105138416666666,8.481251833333333,2.3761135,10.733981666666667,10.276222583333332
2018-11-14 00:18:00,6.195128749999999,-2.1873264999999997,371.00957016666666,365.29536658333336,-0.8990375833333334,8.382455333333334,14.096658833333334,5.71420325,11.262633166666665,10.160880833333335
2018-11-14 00:19:00,3.8484890833333334,-2.36960375,368.8653546666667,366.02113775,inf,6.218092833333333,9.0623095,2.844216416666667,10.845242749999999,10.300939083333335
2018-11-14 00:20:00,1.7365135833333332,-3.326559166666667,367.7960464999999,364.5141484166666,-0.5097885833333334,5.0630723333333325,8.344970333333334,3.281898,10.639339,10.00856725
2018-11-14 00:21:00,2.3935725833333334,-1.6860641666666665,368.61534174999997,364.8056979166667,-0.19711433333333325,4.079636750000001,7.889280749999998,3.809644,10.797730916666666,10.064928999999998
2018-11-14 00:22:00,3.754623583333333,-0.3189850000000001,371.23841541666667,366.07799100000005,-inf,4.073608500000001,9.234033333333336,5.160424666666667,11.296471166666668,10.312675249999998
2018-11-14 00:23:00,2.9098330000000003,-2.779727416666667,369.46336449999995,366.14466808333333,-inf,5.689560916666667,9.008257333333335,3.3186966666666664,10.962602583333334,10.324391749999998
2018-11-14 00:24:00,3.191429916666667,-0.13670791666666662,369.4286034166667,365.2623024166667,1.6414870833333335,3.328137916666666,7.494439000000001,4.166301083333333,10.957257749999998,10.153611666666665
2018-11-14 00:25:00,4.223951416666666,-1.822772083333333,368.23006474999994,366.77421533333336,-inf,6.046723666666665,7.50257325,1.4558497499999998,10.724632083333331,10.446416000000001
2018-11-14 00:26:00,2.769034916666667,-1.54935625,366.8123269999999,364.29554633333333,-0.34882199999999997,4.318391166666667,6.835171833333333,2.51678075,10.451703,9.964136083333333
2018-11-14 00:27:00,3.4730266666666663,-4.739207416666666,371.1554274166667,365.09094383333326,2.0582075,8.212234166666667,14.276717916666668,6.064483500000001,11.285094166666665,10.120307500000001
