,u,direction,z,sonic_temp,h,u_top,direction_top,z_top,sonic_temp_top,Pyranometer Upper Irradiance [W/m$^2$],Pyranometer Lower Irradiance [W/m$^2$],Pyrgeometer Upper Irradiance [W/m$^2$],Pyrgeometer Lower Irradiance [W/m$^2$],Net Solar radiation [W/m$^2$],Net (total) radiation [W/m$^2$],Net Far Infrared radiation [W/m$^2$],Sky temperature [°C],Radiometer Ground temperature [°C],Sensor Ground temperature [°C],North temperature [°C],East temperature [°C],South temperature [°C],West temperature [°C]
2018-11-14 00:00:00,184.91909924937445,0.566922435362804,-0.024103419516263498,14.251451209341138,1.5,327.92583333333334,2.7064166666666667,-0.12403333333333325,13.453716666666553,1.78344625,-2.870866083333333,369.00870675,364.71156658333337,4.65431225,8.9514525,4.297140333333334,10.872391583333332,10.042266583333333,10.533898305084747,13.128813559322046,11.816949152542364,11.60338983050848,10.5135593220339
2018-11-14 00:00:00,160.13830678960605,0.6584325230511321,0.027359597652975562,13.791726739312761,5.5,327.92583333333334,2.7064166666666667,-0.12403333333333325,13.453716666666553,1.78344625,-2.870866083333333,369.00870675,364.71156658333337,4.65431225,8.9514525,4.297140333333334,10.872391583333332,10.042266583333333,10.533898305084747,13.128813559322046,11.816949152542364,11.60338983050848,10.5135593220339
2018-11-14 00:00:00,225.45180217937968,0.9119362950544838,-0.15846605196982394,12.767426655490329,9.5,327.92583333333334,2.7064166666666667,-0.12403333333333325,13.453716666666553,1.78344625,-2.870866083333333,369.00870675,364.71156658333337,4.65431225,8.9514525,4.297140333333334,10.872391583333332,10.042266583333333,10.533898305084747,13.128813559322046,11.816949152542364,11.60338983050848,10.5135593220339
2018-11-14 00:00:00,283.8932443703086,2.641668056713929,-0.2541451209341115,13.404962468723914,13.5,327.92583333333334,2.7064166666666667,-0.12403333333333325,13.453716666666553,1.78344625,-2.870866083333333,369.00870675,364.71156658333337,4.65431225,8.9514525,4.297140333333334,10.872391583333332,10.042266583333333,10.533898305084747,13.128813559322046,11.816949152542364,11.60338983050848,10.5135593220339
2018-11-14 00:00:00,313.1983333333333,2.9778999999999964,-0.14536666666666684,13.638791666666682,17.5,327.92583333333334,2.7064166666666667,-0.12403333333333325,13.453716666666553,1.78344625,-2.870866083333333,369.00870675,364.71156658333337,4.65431225,8.9514525,4.297140333333334,10.872391583333332,10.042266583333333,10.533898305084747,13.128813559322046,11.816949152542364,11.60338983050848,10.5135593220339
2018-11-14 00:00:00,297.81651376146783,2.7634278565471204,-0.1724520433694746,12.853978315262744,21.5,327.92583333333334,2.7064166666666667,-0.12403333333333325,13.453716666666553,1.78344625,-2.870866083333333,369.00870675,364.71156658333337,4.65431225,8.9514525,4.297140333333334,10.872391583333332,10.042266583333333,10.533898305084747,13.128813559322046,11.816949152542364,11.60338983050848,10.5135593220339
2018-11-14 00:01:00,248.25145711906742,0.6133222314737712,-0.03628642797668612,14.293563696919234,1.5,327.5012489592007,2.604737718567859,0.13638634471273944,13.447077435470334,2.158908583333333,-0.04556924999999997,371.70023225,365.83433316666674,2.204477833333333,8.07037675,5.865898999999999,11.390960833333333,10.264564916666666,10.52,13.130000000000011,11.823333333333325,11.571666666666669,10.53
2018-11-14 00:01:00,187.1175482787573,0.6927707808564237,0.059554995801847165,13.803157010915296,5.5,327.5012489592007,2.604737718567859,0.13638634471273944,13.447077435470334,2.158908583333333,-0.04556924999999997,371.70023225,365.83433316666674,2.204477833333333,8.07037675,5.865898999999999,11.390960833333333,10.264564916666666,10.52,13.130000000000011,11.823333333333325,11.571666666666669,10.53
2018-11-14 00:01:00,271.6533333333333,0.9879833333333342,-0.3434583333333336,12.775841666666675,9.5,327.5012489592007,2.604737718567859,0.13638634471273944,13.447077435470334,2.158908583333333,-0.04556924999999997,371.70023225,365.83433316666674,2.204477833333333,8.07037675,5.865898999999999,11.390960833333333,10.264564916666666,10.52,13.130000000000011,11.823333333333325,11.571666666666669,10.53
2018-11-14 00:01:00,280.7019150707744,2.2489675270607816,-0.20535387177352246,13.37876769358871,13.5,327.5012489592007,2.604737718567859,0.13638634471273944,13.447077435470334,2.158908583333333,-0.04556924999999997,371.70023225,365.83433316666674,2.204477833333333,8.07037675,5.865898999999999,11.390960833333333,10.264564916666666,10.52,13.130000000000011,11.823333333333325,11.571666666666669,10.53
2018-11-14 00:01:00,322.8675,2.496816666666665,-0.11280000000000012,13.613891666666728,17.5,327.5012489592007,2.604737718567859,0.13638634471273944,13.447077435470334,2.158908583333333,-0.04556924999999997,371.70023225,365.83433316666674,2.204477833333333,8.07037675,5.865898999999999,11.390960833333333,10.264564916666666,10.52,13.130000000000011,11.823333333333325,11.571666666666669,10.53
2018-11-14 00:01:00,316.1024146544546,2.609783513738551,0.07140716069941727,12.84097418817653,21.5,327.5012489592007,2.604737718567859,0.13638634471273944,13.447077435470334,2.158908583333333,-0.04556924999999997,371.70023225,365.83433316666674,2.204477833333333,8.07037675,5.865898999999999,11.390960833333333,10.264564916666666,10.52,13.130000000000011,11.823333333333325,11.571666666666669,10.53
2018-11-14 00:02:00,186.94167371090447,0.4391377852916313,-0.005629754860524082,14.251622992392194,1.5,328.21416666666664,3.154574999999997,-0.03374999999999996,13.431491666666613,2.393572583333333,-2.0961879166666666,370.72223208333327,366.0362876666666,4.489760416666667,9.175705166666667,4.685944666666667,11.20363375,10.30502625,10.54166666666667,13.120000000000006,11.811666666666662,11.581666666666672,10.546666666666672
